year,budget,name
2008,1106.4,Social Protection
2009,1249.6,Social Protection
2010,1278.2,Social Protection
2011,1447.9,Social Protection
2012,1575.5,Social Protection
2013,1816.8,Social Protection
2014,2174.9,Social Protection
2015,2217.6,Social Protection
2016,2410.2,Social Protection
2017,2545.4,Social Protection
2018,2699,Social Protection
2019,3094.1,Social Protection
2020,4456.4,Social Protection
2021,4438.5,Social Protection
2022,4631.4,Social Protection
2023,5735,Social Protection
2024,6413.4,Social Protection
